*ḫer-	'sich (zusammen)fügen'	IEW 55-8
*ḫer-	'nehmen, erwerben'	IEW 61
*ḫer-	'gewichtig/laut sprechen'	IEW 781
*ḫerH-	'sich auflösen, verschwinden'	IEW 332-3
*ḫerḥ-	'aufbrechen, pflügen'	IEW 62
*ḫer(ḱ)-	'halten'	IEW 65-6
*ḫes-	'satt werden'	IEW –
*ḫet-	'gehen, wandern'	IEW 69
*ḫet-	'ein Loch machen, stechen'	IEW –
*ḫew-	'genießen'	IEW 77-8
*ḫewg-	'stark werden'	IEW 84-5
*ḫewH-	'(Fußbekleidung) anziehen'	IEW 346
*ḫews-	'schöpfen'	IEW 90
*?ḫ(ģ)er-	'sammeln, (zusammen)holen, nehmen'	IEW 382
*ḫle(ģ)-	'sich kümmern um'	IEW 658
*ḫleħ-	'zermahlen'	IEW 28-9
*ḫleyH-	'beschmieren'	IEW 661
*ḫleks-	'abwehren, schützen'	IEW 32
*ḫlew-	'fernhalten'	IEW 27-8
*ḫmeħ-	'mähen'	IEW 703
*ḫmeygᵂ-	'wechseln'	IEW 713
*ḫmelģ-	'melken'	IEW 722-3
*ḫmerd-	'ein Leid antun, mißhandeln'	IEW 736-7
*ḫmerģ-	'abstreifen, (ab)wischen'	IEW 738
*?ḫmert-	'verfehlen'	IEW 970
*ḫneḥ-	'tadeln'	IEW 779
*ḫneḱ-	'erreichen'	IEW 316-8
*ḫreħ(ģ)-	'sich sorgen um, helfen'	IEW 857
*ḫres-	'sich verweigern'	IEW 62
*ḫsews-	'trocken werden'	IEW 880-1
*?ḫsewt-	'aufwallen'	IEW 914-5
*ḫtew(ģ)-	'Schrecken verbreiten'	IEW 914-5
*ḫwedH-	'tönen, sprechen'	IEW 76-7
*ḫweg-	'stechen'	IEW –
*ḫwe(ģ)ʰ-	'bedeutungsvoll sprechen'	IEW 1136, 348
*ḫweħ-	'wehen'	IEW 81-4
*ḫwey-	'laufen'	IEW –
*?ḫweyd-	'singen'	IEW 77
*?ḫweys-	'hören'	IEW 78
*ḫweks-	'(heran)wachsen, groß werden'	IEW 84-5
*ḫwelk-	'schleppen, ziehen'	IEW 1145
*ḫwer-	'hängen (intr.)'	IEW 1150
*ḫwerg-	'sich umdrehen, sich wenden'	IEW 1154, 1168
